PC1,PC2,PC3,T1,T2,T3,track_id,artist_name,title,genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
-2.11113184117815,0.0442085526377294,0.678425606036401,-20.5000818257104,4.97187515649139,-85.5259046702502,TRUMVIV128F934656F,Blue Oyster Cult,Demon's Kiss - Original,classic pop and rock,-9619,138.29,4,4,0,232.75057,46.0762841965,36.8287822045,24.4406201859,-1.20420982736,1.39965737052,-20.67312749,-1.62713545817,-1.94709960159,-3.44507436919,-4.07990703851,0.126126162019,-9.80715803453,6.12217697634,962.380709185,979.351520047,726.179193231,828.238374597,567.591972066,407.14524357,399.369803508,277.848214868,259.236218956,184.171650931,238.287957753
-3.30243905541789,0.240838520043959,2.18494018091077,-39.251568332244,5.07678636841453,49.1720629965125,TRXQAEJ128F426C456,Blue Oyster Cult,Don't Fear The Reaper,classic pop and rock,-8829,149121,4,11,0,364.61669,47.7089503859,-4.81871885336,64.232755237,1.34524035281,-16.0291124587,-16.2867596472,-1.87087210584,-1.67670672547,-3.94294377067,-10.0751179713,2.7746890849,1.04038809261,6.60438368111,745.376561691,1394.51241979,492.510935936,765.497185074,189.463227012,263.922068625,197.109780761,292.388433129,151.405603947,97.9262622165,200.391924511
-2.28684688560131,0.181372347375473,0.0494435910273691,-42.882599595515,26.4060223404027,23.5233680591024,TROTIKS128F4267F8E,Blue Oyster Cult,Black Blade,classic pop and rock,-9994,163107,4,7,1,376.92036,44.4333548658,-1.46386493289,35.9482290268,-1.10795721477,-20.4993506711,-18.5850268456,1.08219043624,2.28464513423,-3.20057130872,-1.92759731544,2.91890436242,-1.68435234899,23.2323504018,2161.14747418,1790.02282242,685.57001818,761.931560087,424.607710122,425.768734356,291.139438308,272.702398842,172.863738759,157.637855362,202.214482163
-2.15921268486199,-0.0179332868549638,-1.02794268264193,51.1648078929844,-2.65708099595932,22.6013843567653,TRXYOEC128F4267A52,Blue Oyster Cult,Mirrors,classic pop and rock,-11834,117741,4,2,1,225.61914,42.2332739018,68.972618863,59.341996124,12.4575077519,-10.9537222222,-3.01220930233,-0.0289444444444,0.55192377261,2.81821963824,-1.37523643411,3.31870801034,0.439512919897,33.6752770464,765.762357895,1622.67158761,984.516048046,474.111939097,789.64852347,367.178256298,274.79919068,314.627291006,190.31011802,179.21718246,262.788872165
-1.36104017614255,-0.772661340948061,-1.28257798329985,-20.6106291587221,58.2202173306094,-7.85916601466131,TRQVAPV128F4260B53,Blue Oyster Cult,Teen Archer,classic pop and rock,-7314,198068,4,0,1,237.08689,47.8418628049,25.1169969512,60.3179796748,16.8427113821,-11.0284908537,-14.1908577236,23.4288191057,0.59943800813,3.6160945122,-2.96140955285,-0.210154471545,-13.9480802846,8.2213571265,2149.01346006,2129.5690853,820.536244559,891.669627801,518.591618929,358.394723494,442.546910681,264.590148925,487.252490915,206.460903868,230.906070783
-2.85266751111718,-0.348541720600335,0.506411074900241,-43.5445692553389,15.045675484675,36.9338968832486,TRPYLHE128F4266CB5,Blue Oyster Cult,Mes Dames Sarat,classic pop and rock,-8635,154981,1,4,0,246.36036,46.6661533613,14.6649831933,14.8271607143,0.42175210084,-9.44089180672,-12.3479926471,11.3415472689,7.27315861345,9.3653907563,3.04330357143,-0.349794117647,5.89723634454,15.0769269345,809.025250569,1237.95661336,570.829457525,605.865078693,550.663276096,323.319305765,321.804382919,231.611016221,191.007395571,175.486918096,151.064125561
-1.21453913499891,-1.09622351793557,-0.10901171963475,30.0904945610058,-17.4605430890024,47.792721336289,TRNFTSO128F42AF498,Blue Oyster Cult,Please Hold,classic pop and rock,-8494,124561,4,7,1,166.84363,43.9957834395,-26.3458869427,8.19847133758,22.4689633758,-10.3305047771,-2.40200159236,-2.27465286624,-5.62753184713,17.0427117834,2.79528184713,4.00855254777,-1.01734235669,15.3566187684,1685.7090591,1357.06221555,1343.12685165,749.125338957,1064.62823866,285.263010348,452.570505278,266.428031708,366.693607441,280.193123002,277.297457321
-3.56169435666732,-0.0573326405512391,0.168737936987961,-47.9813365154303,-12.7670649078683,35.0527628207695,TRKTMTF128F92DF6D7,Blue Oyster Cult,(Don't Fear) The Reaper,classic pop and rock,-12.74,142238,4,7,1,229.98159,43.5576231405,0.399239669421,33.4803404959,-9.87357355372,-35.2989305785,-19.8937190083,-4.42020165289,1.76554710744,3.17980991736,0.380819834711,0.314256198347,3.83244628099,17.8612875208,928.325372794,1282.49319264,326.757801878,632.215382756,212.189342896,297.002859784,162.285456198,249.799284541,136.810552217,74.5488848352,237.405307447
-2.31533239318436,-0.00438680180573311,0.048590711394392,53.5728109492603,-5.63163593211005,21.1763453680248,TRTJETF128F4270208,Blue Oyster Cult,Take Me Away,classic pop and rock,-10908,117448,4,0,0,271.46404,44.6312060241,33.2357891566,50.2582795181,6.67386987952,-13.3432855422,-15.6685566265,-3.64599036145,-4.91202168675,-1.48024457831,-4.36834698795,1.7532373494,-13.4071240964,10.0454714262,1568.16099364,1357.48862549,747.926002648,787.706747103,398.514704611,286.834590824,431.219142465,232.081879565,246.981535296,138.175300261,240.076727971
1.56524772125239,-1.88475363025645,0.286676265383797,12.467694739278,-4.5760047704238,-31.5866333111349,TRURTQU128EF362530,Tone-Loc,Funky Westside,classic pop and rock,-11429,90439,4,2,0,290.82077,39.0694551282,54.7929455128,-63.2797291667,-3.10431570513,-11.8161738782,5.52508253205,15.230375,0.974381410256,8.31177483974,12.2055408654,-12.9390584936,2.02206009615,24.5644556759,2357.02171154,1620.47180261,2274.75527408,740.362221132,1643.36348535,817.747766081,1019.16566435,381.388882341,494.664119516,499.598790537,208.344859885
