artist.hotttnesss,tempo,familiarity,duration,loudness,terms,mode,key,year,title,location,artist.name,release.name,song.hotttnesss,PC1,PC2,PC3,PC4,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,key_confidence,end_of_fade_in,latitude,longitude,mode_confidence,release.id,similar,song.id,start_of_fade_out,tatums_confidence,tatums_start,terms_freq,time_signature,time_signature_confidence,artist.id
0.416173065,110189,0.706827671,342.56934,-11939,Indie ,1,6.0,1972,Do You Finally Need A Friend,Chicago,Terry Callier,Occasional Rain,0.413739836,0.768157308940791,-0.120550930226349,0.0346895158052966,0.478585616418625,classic pop and rock,1.0,145,0.96908,708,0.42073,381,63,41.88415,-87.63241,538,228326,ARTB5PP1187FB523B7,SOGNCJP12A58A80271,333154,462,0.13836,0.985011245,3.0,353,ARB29H41187B98F0EF
0.452789477,138007,0.560557984,484.62322,-15335,Indie ,0,4.0,0,The Emperor Falls,Brandon,John Wesley,The Emperor Falls,0.377531645,0.330351308925391,0.257493252884447,0.473088550694799,-0.358656370222259,,0.0,42,0.56075,0.0,0.56075,283,28172,27.94017,-82.32547,363,463514,ARRJTPR11F4C8473CF,SOLLHMX12AB01846DC,480363,57,0.56075,1.0,4.0,893,AR1Y2PT1187FB5B9CE
0.418216518,130.1,0.640807102,164.80608,-10922,Indie ,1,10.0,1964,Twist and Shout,"Queens, NY",The Shangri-Las,Best of The Shangri-Las,0.443291312,0.358620466697992,-1.59057926680937,-1.60252472173074,0.194433519418695,,0.0,812,0.10131,812,0.10131,254,0.0,40.7038,-73.83168,42,643400,ARXY7M01187B9B7611,SOYTPEP12AB0180E7B,156177,879,0.10131,0.922774628,1.0,0.0,ARAJPHH1187FB5566A
0.384611084,160839,0.523714637,133.32853,-9983,Indie ,1,4.0,1992,It Makes No Difference Now,"Beaumont, TX",Billie Jo Spears,20 Of Her Best,0.0,-0.142897726600217,0.564437652085868,0.854893555443925,-0.190255624813353,,0.0,0.0,0.24118,0.0,0.24118,384,0.0,30.08615,-94.10158,402,663761,AR7HM181187FB3CFC1,SOGXHEG12AB018653E,130009,515,0.04851,0.984993496,1.0,0.0,AR0RCMP1187FB3F427
0.426317956,41993,0.79360508,173.66159,-7762,Indie ,1,7.0,0,Laws Patrolling (Album Version),"Houston, TX",Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,,1.12566292538881,-1.0397014913962,-1.01275119821158,0.827311175913341,,0.0,616,0.40866,616,0.40866,299,0.0,37.15735675013362,-63.933357868519515,464,12882,ARNJJXJ11F50C4EA81,SOOLYAZ12A6701F4A6,164908,536,0.05133,1.0,1.0,0.0,AREBBGV1187FB523D2
0.392733676,189646,0.501544777,313.12934,-9512,Indie ,1,9.0,1997,A?DA3nde va Chichi?,Not available,Sierra Maestra,Tibiri Tabara,,-0.168467277998747,0.952728265116518,1.28778870701949,-0.334308674391689,,0.0,291,0.76895,219,0.09309,724,0.0,37.15735675013362,-63.933357868519515,364,270281,AR2HU081187FB5B263,SOGOSOV12AF72A285E,307688,372,0.09309,1.0,3.0,674,ARGUVEV1187B98BA17
0.488019842,130586,0.809323793,450.84689,-9063,Indie ,0,4.0,0,"Barking Dogs (From ""Piouhgd"")","San Antonio, TX",Butthole Surfers,Piouhgd + Widowermaker!,0.593943076,1.60105228139724,0.142013703872634,0.289654175292425,0.576590521200919,texas,1.0,35,0.2438,604,0.2438,726,467,29.42449,-98.49462,367,244586,ARCDZ0K1187FB43757,SOJXVAH12A8C139700,426104,267,0.09307,1.0,4.0,0.42,ARPQ4Z01187FB3A736
0.41168896,128292,0.632559542,303.09832,-8879,Indie ,0,8.0,0,OUTE ENA EFHARISTO,Not available,Despina Vandi,Profities,,0.436796699760867,0.124710200358987,0.327012622757633,0.166691486820892,,0.0,791,0.10104,895,0.10104,532,67,37.15735675013362,-63.933357868519515,516,157648,ARQLM691187FB4CFA7,SOVXMTN12A8C135A18,294818,764,0.10104,1.0,4.0,0.83,ARNQAVF11F4C844C04
0.382651971,90932,0.597541218,128.83546,-17699,Indie ,1,3.0,0,Midnight Swim,Not available,Javier Navarrete,Cracks,0.394394856,0.0953246947717009,-0.372921329178057,-0.213425151411637,0.160883202310764,,0.0,359,0.77461,773,0.77461,0.0,0.0,37.15735675013362,-63.933357868519515,251,644631,ARU52PB1187FB58E46,SORSECL12AB0182267,121423,302,0.77461,0.842995301,3.0,1.0,ARXUT4W1187FB48BEB
0.294861262,89667,0.495445922,456.30649,-19478,Indie ,1,1.0,0,In A Subtle Way,Not available,Jacob Young,Pieces Of Time,0.0,-0.792708138743242,-0.370862672901948,-0.181877277035898,0.139950743273928,jazz and blues,1.0,238,0.92047,908,0.23284,611,241,37.15735675013362,-63.933357868519515,546,730551,ARM8XWM1187FB4E225,SOOGFBZ12AC3DF7FF2,451315,0.0,0.06094,0.878319228,4.0,747,ARDD1RC1187B9B52B4
